https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USD
1714870800,2024-05-05 01:00:00,BNB/USD,583,583,583,583,0.220717,128.678011
1714208400,2024-04-27 09:00:00,BNB/USD,592.7,592.7,592,592.3,143.1,84758.12999999999
1712898000,2024-04-12 05:00:00,BNB/USD,621.6,622.3,621.6,622.3,1.050474,653.7099701999999
1712793600,2024-04-11 00:00:00,BNB/USD,610.0,610.0,610.0,610.0,5.0,3050.0
1712674800,2024-04-09 15:00:00,BNB/USD,579.0,579.0,579.0,579.0,0.5,289.5
1712253600,2024-04-04 18:00:00,BNB/USD,598,598,598,598,0.170208,101.784384
1711987200,2024-04-01 16:00:00,BNB/USD,575.0,575.0,575.0,575.0,1.0,575.0
1711965600,2024-04-01 10:00:00,BNB/USD,584.6,584.6,584.6,584.6,1.0,584.6
1711544400,2024-03-27 13:00:00,BNB/USD,581,581,581,581,1,581
1711386000,2024-03-25 17:00:00,BNB/USD,596,596,596,596,0.17,101.32000000000001
1711324800,2024-03-25 00:00:00,BNB/USD,568,568,568,568,0.237754,135.044272
1711108800,2024-03-22 12:00:00,BNB/USD,569,569,569,569,0.2,113.80000000000001
1710846000,2024-03-19 11:00:00,BNB/USD,506.0,506.0,506.0,506.0,1.71,865.26
1710838800,2024-03-19 09:00:00,BNB/USD,512.5,512.5,512.5,512.5,0.609824,312.5348
1710547200,2024-03-16 00:00:00,BNB/USD,640.0,640.0,640.0,640.0,0.05,32.0
1710543600,2024-03-15 23:00:00,BNB/USD,630.0,630.0,630.0,630.0,0.5,315.0
1710446400,2024-03-14 20:00:00,BNB/USD,599.0,599.0,599.0,599.0,0.183155,109.709845
1710399600,2024-03-14 07:00:00,BNB/USD,611.5,611.5,611.5,611.5,0.1,61.150000000000006
1710385200,2024-03-14 03:00:00,BNB/USD,615.0,615.0,615.0,615.0,0.1,61.5
1710367200,2024-03-13 22:00:00,BNB/USD,600.0,600.0,600.0,600.0,0.56,336.00000000000006
1710313200,2024-03-13 07:00:00,BNB/USD,553.1,553.1,553.1,553.1,2.697012,1491.7173372
1710309600,2024-03-13 06:00:00,BNB/USD,550.0,550.0,550.0,550.0,0.114278,62.852900000000005
1710216000,2024-03-12 04:00:00,BNB/USD,538.0,540.0,538.0,540.0,0.77,415.8
1710172800,2024-03-11 16:00:00,BNB/USD,515.0,515.0,515.0,515.0,1.0,515.0
1710108000,2024-03-10 22:00:00,BNB/USD,523.0,523.0,523.0,523.0,0.096,50.208
1710093600,2024-03-10 18:00:00,BNB/USD,531.0,531.0,529.8,529.8,0.188457,99.8445186
1710054000,2024-03-10 07:00:00,BNB/USD,500.0,500.0,500.0,500.0,1.0,500.0
1709913600,2024-03-08 16:00:00,BNB/USD,469.4001,469.4001,469.4001,469.4001,0.414447,194.5414632447
1709899200,2024-03-08 12:00:00,BNB/USD,480.0,480.0,480.0,480.0,0.074636,35.82528
1709834400,2024-03-07 18:00:00,BNB/USD,459.9,459.9,459.9,459.9,2.726402,1253.8722798000001
1709758800,2024-03-06 21:00:00,BNB/USD,427.3,427.3,427.3,427.3,0.256786,109.7246578
1709737200,2024-03-06 15:00:00,BNB/USD,417.5,417.5,417.5,417.5,0.132303,55.2365025
1709719200,2024-03-06 10:00:00,BNB/USD,412.3999,412.3999,412.3999,412.3999,19.22927,7930.149025073
1709636400,2024-03-05 11:00:00,BNB/USD,420.0,420.0,420.0,420.0,0.157,65.94
1709582400,2024-03-04 20:00:00,BNB/USD,417.2999,417.2999,417.2999,417.2999,0.114042,47.5897151958
1709449200,2024-03-03 07:00:00,BNB/USD,408.1,408.1,408.1,408.1,2.146348,875.9246188000001
1709420400,2024-03-02 23:00:00,BNB/USD,410.9999,410.9999,410.9999,410.9999,0.728102,299.24984918980005
1709395200,2024-03-02 16:00:00,BNB/USD,408.1,408.1,408.1,408.1,1.053146,429.78888259999997
1709348400,2024-03-02 03:00:00,BNB/USD,411.0,411.0,411.0,411.0,1.0,411.0
1709341200,2024-03-02 01:00:00,BNB/USD,410.1999,410.1999,410.1999,410.1999,0.016322,6.6952827678
1709308800,2024-03-01 16:00:00,BNB/USD,403.7001,403.7001,403.7001,403.7001,25.498327,10293.6771597327
1709164800,2024-02-29 00:00:00,BNB/USD,419.7999,423.897,419.7999,423.897,0.488099,206.903701803
1709132400,2024-02-28 15:00:00,BNB/USD,414.0999,414.0999,414.0999,414.0999,0.214702,88.9080767298
1709071200,2024-02-27 22:00:00,BNB/USD,395.3001,395.3001,395.3001,395.3001,0.072078,28.4924406078
1708977600,2024-02-26 20:00:00,BNB/USD,399.0,399.0,399.0,399.0,0.314,125.286
1708966800,2024-02-26 17:00:00,BNB/USD,399.0,399.0,399.0,399.0,0.186,74.214
1708963200,2024-02-26 16:00:00,BNB/USD,398.0,398.0,398.0,398.0,0.087707,34.907385999999995
1708956000,2024-02-26 14:00:00,BNB/USD,398.0,398.0,398.0,398.0,0.011862,4.721076
1708920000,2024-02-26 04:00:00,BNB/USD,384.0,384.0,384.0,384.0,0.082145,31.54368
1708916400,2024-02-26 03:00:00,BNB/USD,384.0,384.0,384.0,384.0,0.017855,6.85632
1708909200,2024-02-26 01:00:00,BNB/USD,386.0,386.0,386.0,386.0,0.1,38.6
1708736400,2024-02-24 01:00:00,BNB/USD,373.6999,373.6999,373.6999,373.6999,0.001475,0.5512073525
1708707600,2024-02-23 17:00:00,BNB/USD,373.6001,373.6001,373.6001,373.6001,0.484196,180.8956740196
1708567200,2024-02-22 02:00:00,BNB/USD,378.0999,378.0999,378.0999,378.0999,0.057422,21.7112524578
1708560000,2024-02-22 00:00:00,BNB/USD,380.0,380.0,380.0,380.0,0.25,95.0
1708545600,2024-02-21 20:00:00,BNB/USD,371.7999,375.518,371.7999,375.518,0.026526,9.960990468
1708513200,2024-02-21 11:00:00,BNB/USD,365.8999,365.8999,365.8999,365.8999,3.395114,1242.2718730886
1708502400,2024-02-21 08:00:00,BNB/USD,362.0,362.4,362.0,362.4,0.259626,94.0884624
1708426800,2024-02-20 11:00:00,BNB/USD,359.2999,359.2999,359.2999,359.2999,0.007531,2.7058875469
1708336800,2024-02-19 10:00:00,BNB/USD,353.5999,356.3,353.5999,356.3,0.100157,35.6859391
1708279200,2024-02-18 18:00:00,BNB/USD,350.3001,350.3001,350.3001,350.3001,0.006377,2.2338637376999997
1708210800,2024-02-17 23:00:00,BNB/USD,352.1001,352.1001,352.1001,352.1001,0.05,17.605005000000002
1708200000,2024-02-17 20:00:00,BNB/USD,352.7001,352.7001,352.7001,352.7001,0.068637,24.208276763700002
1708048800,2024-02-16 02:00:00,BNB/USD,365.7,365.7,365.7,365.7,1.0,365.7
1708005600,2024-02-15 14:00:00,BNB/USD,354.1,360.3999,354.1,360.3999,2.50942,904.394717058
1707764400,2024-02-12 19:00:00,BNB/USD,328.0,328.0,328.0,328.0,0.142268,46.663904
1707357600,2024-02-08 02:00:00,BNB/USD,311.5999,313.1999,311.5999,313.1999,1.144513,358.46135714869996
1706598000,2024-01-30 07:00:00,BNB/USD,313.0999,313.0999,313.0999,313.0999,0.145771,45.6408855229
1706000400,2024-01-23 09:00:00,BNB/USD,300.8,300.8,299,299,0.655862,196.102738
1705618800,2024-01-18 23:00:00,BNB/USD,314,314,314,314,0.142268,44.672152000000004
1705489200,2024-01-17 11:00:00,BNB/USD,310.0999,310.0999,310.0999,310.0999,9.069324,2812.3964654675997
1705320000,2024-01-15 12:00:00,BNB/USD,330.7902,330.7902,330.7902,330.7902,9.53,3152.430606
1704898800,2024-01-10 15:00:00,BNB/USD,295.8999,295.8999,295.8999,295.8999,25.324059,7493.3865256941
