https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1666656000000.0,2022-10-25 00:00:00,LTC/USD,52.54,56.855,52.29,55.965,297221.48430983647,16634000.3694
1666569600000.0,2022-10-24 00:00:00,LTC/USD,54.045,54.22,52.115,52.54,239071.49474210126,12560816.33375
1666483200000.0,2022-10-23 00:00:00,LTC/USD,52.2,54.05,51.835,54.03,127778.73716546362,6903885.16905
1666396800000.0,2022-10-22 00:00:00,LTC/USD,51.64,52.485,51.38,52.2,108182.24243965517,5647113.05535
1666310400000.0,2022-10-21 00:00:00,LTC/USD,51.24,51.815,49.525,51.64,243071.2050677769,12552197.0297
1666224000000.0,2022-10-20 00:00:00,LTC/USD,50.94,52.11,50.56,51.24,230347.87403298204,11803025.06545
1666137600000.0,2022-10-19 00:00:00,LTC/USD,51.86,52.01,50.765,50.94,229983.81622300748,11715375.5984
1666051200000.0,2022-10-18 00:00:00,LTC/USD,51.825,52.235,50.755,51.86,236436.58100752026,12261601.09105
1665964800000.0,2022-10-17 00:00:00,LTC/USD,51.445,52.175,51.04,51.825,265525.3657906416,13760852.0821
1665878400000.0,2022-10-16 00:00:00,LTC/USD,50.38,51.835,50.28,51.445,190193.855110312,9784522.87615
1665792000000.0,2022-10-15 00:00:00,LTC/USD,51.31,51.675,50.275,50.38,137924.85110162763,6948653.9985
1665705600000.0,2022-10-14 00:00:00,LTC/USD,51.095,52.59,50.905,51.31,255816.99179984408,13125969.84925
1665619200000.0,2022-10-13 00:00:00,LTC/USD,52.235,52.52,48.305,51.095,373995.06028182793,19109277.6051
1665532800000.0,2022-10-12 00:00:00,LTC/USD,52.015,52.99,51.605,52.235,329459.89079735806,17209337.3958
1665446400000.0,2022-10-11 00:00:00,LTC/USD,52.63,52.635,51.235,52.015,311056.1682447371,16179586.59125
1665360000000.0,2022-10-10 00:00:00,LTC/USD,53.92,54.48,52.505,52.625,483613.11277244653,25450140.05965
1665273600000.0,2022-10-09 00:00:00,LTC/USD,52.795,54.015,52.685,53.92,205153.67201780417,11061885.9952
1665187200000.0,2022-10-08 00:00:00,LTC/USD,52.855,53.55,52.41,52.795,142957.7508883417,7547454.45815
1665100800000.0,2022-10-07 00:00:00,LTC/USD,53.535,53.845,52.275,52.855,372531.695061962,19690162.7425
1665014400000.0,2022-10-06 00:00:00,LTC/USD,54.635,55.065,53.355,53.535,409041.54286634916,21898038.99735
1664928000000.0,2022-10-05 00:00:00,LTC/USD,55.28,55.31,53.295,54.635,303255.051208932,16568339.7228
