https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USD
1663632000000.0,2022-09-20 00:00:00,BNB/USD,272.033,273.727,265.091,266.382,76228.27242880524,20305839.66613
1663545600000.0,2022-09-19 00:00:00,BNB/USD,266.319,273.098,256.6,272.033,100417.59578437175,27316899.83401
1663459200000.0,2022-09-18 00:00:00,BNB/USD,279.052,280.134,263.065,266.319,56162.8455161667,14957232.85502
1663372800000.0,2022-09-17 00:00:00,BNB/USD,274.914,279.866,274.686,279.052,27749.107351210525,7743443.90457
1663286400000.0,2022-09-16 00:00:00,BNB/USD,271.114,276.485,268.515,274.914,48259.15066828172,13267116.14682
1663200000000.0,2022-09-15 00:00:00,BNB/USD,279.298,280.558,266.64,271.114,104114.37628447813,28226865.01199
1663113600000.0,2022-09-14 00:00:00,BNB/USD,277.454,282.806,273.469,279.298,75204.14455176907,21004367.16502
1663027200000.0,2022-09-13 00:00:00,BNB/USD,294.108,299.0,275.444,277.454,117764.4711562277,32674223.58018
1662940800000.0,2022-09-12 00:00:00,BNB/USD,295.471,299.957,290.756,294.108,117590.99488225413,34584452.32283
1662854400000.0,2022-09-11 00:00:00,BNB/USD,296.721,298.11,289.928,295.471,48783.55299102111,14414125.18581
1662768000000.0,2022-09-10 00:00:00,BNB/USD,293.522,298.72,290.444,296.721,46804.78185399753,13887961.6765
1662681600000.0,2022-09-09 00:00:00,BNB/USD,280.688,296.015,280.114,293.522,86387.9813379917,25356773.05829
1662595200000.0,2022-09-08 00:00:00,BNB/USD,279.086,282.959,275.51,280.689,81024.77205059692,22742762.24211
1662508800000.0,2022-09-07 00:00:00,BNB/USD,262.315,280.324,258.312,279.086,108548.20793945235,30294285.16099
1662422400000.0,2022-09-06 00:00:00,BNB/USD,276.899,286.349,260.751,262.315,185054.9353151745,48542685.3572
1662336000000.0,2022-09-05 00:00:00,BNB/USD,279.142,281.768,273.246,276.899,122998.11595318149,34058055.30932
1662249600000.0,2022-09-04 00:00:00,BNB/USD,277.766,280.698,275.0,279.155,56781.057447260486,15850716.09169
1662163200000.0,2022-09-03 00:00:00,BNB/USD,277.436,278.783,274.182,277.766,38947.88540721327,10818398.33802
1662076800000.0,2022-09-02 00:00:00,BNB/USD,278.379,283.618,273.578,277.436,94860.69247887802,26317771.07857
1661990400000.0,2022-09-01 00:00:00,BNB/USD,279.093,280.368,270.56,278.379,144278.8418458648,40164199.71421
1661904000000.0,2022-08-31 00:00:00,BNB/USD,281.646,289.972,277.588,279.094,187196.32906436542,52245372.26389
1661817600000.0,2022-08-30 00:00:00,BNB/USD,285.883,291.969,276.628,281.646,130695.94550567023,36809990.26789
1661731200000.0,2022-08-29 00:00:00,BNB/USD,276.364,286.742,272.361,285.883,111226.96379179595,31797898.08969
1661644800000.0,2022-08-28 00:00:00,BNB/USD,277.865,284.021,275.642,276.364,53615.304873319255,14817340.11601
1661558400000.0,2022-08-27 00:00:00,BNB/USD,279.551,284.613,273.26,277.865,64494.52744444244,17920771.86835
1661472000000.0,2022-08-26 00:00:00,BNB/USD,301.245,302.4,277.166,279.551,120633.43760712714,33723198.11651
1661385600000.0,2022-08-25 00:00:00,BNB/USD,296.32,307.575,295.762,301.245,96019.42408269017,28925371.40779
1661299200000.0,2022-08-24 00:00:00,BNB/USD,299.254,300.381,294.245,296.32,87701.70092109882,25987768.01694
1661212800000.0,2022-08-23 00:00:00,BNB/USD,299.888,301.7,293.676,299.254,121468.3616726259,36349893.10398
1661126400000.0,2022-08-22 00:00:00,BNB/USD,301.844,304.925,288.777,299.888,118016.73657322068,35391803.09747
1661040000000.0,2022-08-21 00:00:00,BNB/USD,283.612,304.286,283.373,301.844,99110.84244391143,29916013.12664
1660953600000.0,2022-08-20 00:00:00,BNB/USD,279.143,289.057,276.857,283.612,79075.73393886718,22426827.05387
1660867200000.0,2022-08-19 00:00:00,BNB/USD,298.037,298.16,275.0,279.143,168535.25172667773,47045435.77274
1660780800000.0,2022-08-18 00:00:00,BNB/USD,306.9,310.551,295.43,298.037,174367.3245436976,51967914.30503
1660694400000.0,2022-08-17 00:00:00,BNB/USD,316.132,324.195,303.783,306.9,118955.9120024438,36507569.39355
1660608000000.0,2022-08-16 00:00:00,BNB/USD,319.555,322.465,312.0,316.132,89245.03147501676,28213210.29026
1660521600000.0,2022-08-15 00:00:00,BNB/USD,317.709,327.509,313.621,319.555,120474.82464514715,38498332.58948
1660435200000.0,2022-08-14 00:00:00,BNB/USD,324.282,331.115,315.725,317.698,89259.51964091686,28357570.87088
1660348800000.0,2022-08-13 00:00:00,BNB/USD,328.307,333.144,322.787,324.282,87607.26126417749,28409457.89727
1660262400000.0,2022-08-12 00:00:00,BNB/USD,323.642,328.309,317.741,328.307,95946.85463167095,31500024.00356
1660176000000.0,2022-08-11 00:00:00,BNB/USD,329.0,334.932,322.104,323.642,108152.30336170831,35002627.76459
1660089600000.0,2022-08-10 00:00:00,BNB/USD,324.567,336.94,313.613,329.0,164279.4496525228,54047938.93568
1660003200000.0,2022-08-09 00:00:00,BNB/USD,324.765,328.512,312.386,324.567,98294.79613361802,31903247.0967
1659916800000.0,2022-08-08 00:00:00,BNB/USD,322.774,333.891,321.097,324.765,125792.64646162611,40853048.82811
1659830400000.0,2022-08-07 00:00:00,BNB/USD,315.299,326.09,308.229,322.774,83150.54824669893,26838835.05978
1659744000000.0,2022-08-06 00:00:00,BNB/USD,315.943,323.147,312.735,315.299,81685.79994912766,25755451.03816
1659657600000.0,2022-08-05 00:00:00,BNB/USD,311.996,321.471,308.183,315.943,120483.08173502816,38065786.29261
1659571200000.0,2022-08-04 00:00:00,BNB/USD,297.604,313.466,297.235,311.996,144486.06975025323,45079075.8178
1659484800000.0,2022-08-03 00:00:00,BNB/USD,283.781,305.908,278.211,297.604,102528.39642696336,30512860.89025
1659398400000.0,2022-08-02 00:00:00,BNB/USD,283.287,291.226,274.45,283.781,95374.47501058914,27065463.89298
1659312000000.0,2022-08-01 00:00:00,BNB/USD,283.504,290.683,277.942,283.287,98372.77083360692,27867727.13114
1659225600000.0,2022-07-31 00:00:00,BNB/USD,287.793,297.247,282.201,283.504,101693.54762282013,28830527.52526
1659139200000.0,2022-07-30 00:00:00,BNB/USD,293.842,300.386,285.074,287.793,124882.37082364754,35940272.14645
1659052800000.0,2022-07-29 00:00:00,BNB/USD,277.311,302.186,274.857,293.842,216896.4083417619,63733274.41996
1658966400000.0,2022-07-28 00:00:00,BNB/USD,271.735,280.897,263.004,277.258,110011.80627812364,30501653.38506
1658880000000.0,2022-07-27 00:00:00,BNB/USD,249.454,272.194,247.539,271.735,146826.8400646218,39897991.38496
1658793600000.0,2022-07-26 00:00:00,BNB/USD,244.484,249.503,239.608,249.454,76088.21560628412,18980509.73585
