date,close,Open,High,Low
5/7/2024,5187.7,5187.2,5200.23,5178.96
5/6/2024,5180.74,5142.42,5181,5142.42
5/3/2024,5127.79,5122.78,5139.12,5101.22
5/2/2024,5064.2,5049.32,5073.21,5011.05
5/1/2024,5018.39,5029.03,5096.12,5013.45
4/30/2024,5035.69,5103.78,5110.83,5035.31
4/29/2024,5116.17,5114.13,5123.49,5088.65
4/26/2024,5099.96,5084.65,5114.62,5073.14
4/25/2024,5048.42,5019.88,5057.75,4990.58
4/24/2024,5071.63,5084.86,5089.48,5047.02
4/23/2024,5070.55,5028.85,5076.12,5027.96
4/22/2024,5010.6,4987.33,5038.84,4969.4
4/19/2024,4967.23,5005.44,5019.02,4953.56
4/18/2024,5011.12,5031.52,5056.66,5001.89
4/17/2024,5022.21,5068.97,5077.96,5007.25
4/16/2024,5051.41,5064.59,5079.84,5039.83
4/15/2024,5061.82,5149.67,5168.43,5052.47
4/12/2024,5123.41,5171.51,5175.03,5107.94
4/11/2024,5199.06,5172.95,5211.78,5138.77
4/10/2024,5160.64,5167.88,5178.43,5138.7
4/9/2024,5209.91,5217.03,5224.81,5160.78
4/8/2024,5202.39,5211.37,5219.57,5197.35
4/5/2024,5204.34,5158.95,5222.18,5157.21
4/4/2024,5147.21,5244.05,5256.59,5146.06
4/3/2024,5211.49,5194.37,5228.75,5194.37
4/2/2024,5205.81,5204.29,5208.34,5184.05
4/1/2024,5243.77,5257.97,5263.95,5229.2
3/28/2024,5254.35,5248.03,5264.85,5245.82
3/27/2024,5248.49,5226.31,5249.26,5213.92
3/26/2024,5203.58,5228.85,5235.16,5203.42
3/25/2024,5218.19,5219.52,5229.09,5216.09
3/22/2024,5234.18,5242.48,5246.09,5229.87
3/21/2024,5241.53,5253.43,5261.1,5240.66
3/20/2024,5224.62,5181.69,5226.19,5171.55
3/19/2024,5178.51,5139.09,5180.31,5131.59
3/18/2024,5149.42,5154.77,5175.6,5145.47
3/15/2024,5117.09,5123.31,5136.86,5104.35
3/14/2024,5150.48,5175.14,5176.85,5123.3
3/13/2024,5165.31,5173.49,5179.14,5151.88
3/12/2024,5175.27,5134.3,5179.87,5114.48
3/11/2024,5117.94,5111.96,5124.66,5091.14
3/8/2024,5123.69,5164.46,5189.26,5117.5
3/7/2024,5157.36,5132.38,5165.62,5128.21
3/6/2024,5104.76,5108.03,5127.97,5092.22
3/5/2024,5078.65,5110.52,5114.54,5056.82
3/4/2024,5130.95,5130.99,5149.67,5127.18
3/1/2024,5137.08,5098.51,5140.33,5094.16
2/29/2024,5096.27,5085.36,5104.99,5061.89
2/28/2024,5069.76,5067.2,5077.37,5058.35
2/27/2024,5078.18,5074.6,5080.69,5057.29
2/26/2024,5069.53,5093,5097.66,5068.91
2/23/2024,5088.8,5100.92,5111.06,5081.46
2/22/2024,5087.03,5038.83,5094.39,5038.83
2/21/2024,4981.8,4963.03,4983.21,4946
2/20/2024,4975.51,4989.32,4993.71,4955.02
2/16/2024,5005.57,5031.13,5038.7,4999.52
2/15/2024,5029.73,5003.14,5032.72,4999.44
2/14/2024,5000.62,4976.44,5002.52,4956.45
2/13/2024,4953.17,4967.94,4971.3,4920.31
2/12/2024,5021.84,5026.83,5048.39,5016.83
2/9/2024,5026.61,5004.17,5030.06,5000.34
2/8/2024,4997.91,4995.16,5000.4,4987.09
2/7/2024,4995.06,4973.05,4999.89,4969.05
