https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USD
1668153600000.0,2022-11-11 08:00:00,BNB/USD,447.6,476.675,390.0,427.75,6171.710647574518,2639949.2295
1668150000000.0,2022-11-11 07:00:00,BNB/USD,434.575,456.65,387.7,447.6,696.9154574396783,311939.35875
1668146400000.0,2022-11-11 06:00:00,BNB/USD,419.15,449.8,378.0,434.575,447.0834458954151,194291.2885
1668142800000.0,2022-11-11 05:00:00,BNB/USD,402.775,419.15,397.1,419.15,226.9311111773828,95118.17525
1668139200000.0,2022-11-11 04:00:00,BNB/USD,402.825,416.1,382.325,402.775,210.85661845943767,84927.7745
1668135600000.0,2022-11-11 03:00:00,BNB/USD,394.375,423.825,343.7,402.825,652.2469720101782,262741.3865
1668132000000.0,2022-11-11 02:00:00,BNB/USD,383.75,405.0,376.1,394.375,146.5025115689382,57776.928
1668128400000.0,2022-11-11 01:00:00,BNB/USD,369.025,460.625,369.025,383.75,739.1511016286646,283649.23525
1668124800000.0,2022-11-11 00:00:00,BNB/USD,369.0,377.25,349.975,363.0,447.2656584022039,162357.434
1668121200000.0,2022-11-10 23:00:00,BNB/USD,346.25,399.7,342.65,369.0,466.301162601626,172065.129
1668117600000.0,2022-11-10 22:00:00,BNB/USD,399.65,420.0,332.5,346.25,1970.0534108303248,682130.9935
1668114000000.0,2022-11-10 21:00:00,BNB/USD,363.575,424.075,360.8,399.65,1418.013417990742,566709.0625
1668110400000.0,2022-11-10 20:00:00,BNB/USD,331.925,391.975,328.25,363.575,695.8029189300695,252976.54625
1668106800000.0,2022-11-10 19:00:00,BNB/USD,377.2,398.0,322.0,331.925,3685.328974919033,1223252.82
1668103200000.0,2022-11-10 18:00:00,BNB/USD,363.2,505.0,350.0,377.2,2394.2277730646874,903102.716
1668099600000.0,2022-11-10 17:00:00,BNB/USD,338.525,415.3,314.675,363.2,2362.4205933370044,858031.1595
1668096000000.0,2022-11-10 16:00:00,BNB/USD,425.05,450.0,313.375,338.525,8028.482909681708,2717842.177
1668092400000.0,2022-11-10 15:00:00,BNB/USD,361.175,450.0,341.825,425.05,2267.490449947065,963796.81575
1668088800000.0,2022-11-10 14:00:00,BNB/USD,489.55,489.55,310.0,361.175,7128.546587526823,2574652.81375
1668085200000.0,2022-11-10 13:00:00,BNB/USD,520.0,545.0,483.5,489.55,2062.7771203145744,1009832.53925
1668081600000.0,2022-11-10 12:00:00,BNB/USD,502.725,536.325,480.0,520.0,1980.8621495192308,1030048.31775
1668078000000.0,2022-11-10 11:00:00,BNB/USD,550.0,550.0,472.525,502.725,2811.0487448406184,1413184.48025
1668074400000.0,2022-11-10 10:00:00,BNB/USD,427.275,571.9,411.0,550.0,5711.625142727273,3141393.8285
1668070800000.0,2022-11-10 09:00:00,BNB/USD,423.7,503.775,357.5,427.275,6269.413244982739,2678763.54425
