https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume USD
1713657600,2024-04-21 00:00:00,USDT/USD,1.00043,1.00085,1.00001,1.00019,1878608.46167,1878965.3972777172
1713571200,2024-04-20 00:00:00,USDT/USD,1.00042,1.00058,1.00019,1.00041,992810.12779,993217.179942394
1713484800,2024-04-19 00:00:00,USDT/USD,1.00072,1.00095,1.00000,1.00047,12636340.34562,12642279.425582442
1713398400,2024-04-18 00:00:00,USDT/USD,0.99996,1.00100,0.99986,1.00061,15450118.77174,15459543.344190761
1713312000,2024-04-17 00:00:00,USDT/USD,1.00047,1.00091,0.99984,0.99995,12224406.08400,12223794.8636958
1713225600,2024-04-16 00:00:00,USDT/USD,1.00031,1.00299,1.00015,1.00047,13241350.31088,13247573.745526113
1713139200,2024-04-15 00:00:00,USDT/USD,1.00100,1.00127,0.99995,1.00043,18838883.22639,18846983.94617735
1713052800,2024-04-14 00:00:00,USDT/USD,1.00133,1.00147,1.00012,1.00108,5916801.36809,5923191.513567537
1712966400,2024-04-13 00:00:00,USDT/USD,1.00043,1.00478,1.00002,1.00133,15096859.92402,15116938.747718947
1712880000,2024-04-12 00:00:00,USDT/USD,1.00013,1.00073,0.99910,1.00063,18964141.83903,18976089.24838859
1712793600,2024-04-11 00:00:00,USDT/USD,1.00003,1.00030,0.99955,1.00009,11457906.18492,11458937.396476641
1712707200,2024-04-10 00:00:00,USDT/USD,0.99966,1.00040,0.99932,1.00002,13643795.81701,13644068.69292634
1712620800,2024-04-09 00:00:00,USDT/USD,0.99999,1.00045,0.99950,0.99959,12107417.08876,12102453.047753608
1712534400,2024-04-08 00:00:00,USDT/USD,0.99997,1.00029,0.99950,0.99992,16780733.27412,16779390.81545807
1712448000,2024-04-07 00:00:00,USDT/USD,1.00018,1.00076,0.99995,0.99999,2299459.96171,2299436.967110383
1712361600,2024-04-06 00:00:00,USDT/USD,1.00057,1.00073,1.00002,1.00021,1388691.49919,1388983.12440483
1712275200,2024-04-05 00:00:00,USDT/USD,1.00041,1.00077,0.99984,1.00015,19086032.93394,19088895.838880092
1712188800,2024-04-04 00:00:00,USDT/USD,1.00039,1.00075,0.99972,1.00042,15719019.98971,15725621.97810568
1712102400,2024-04-03 00:00:00,USDT/USD,1.00015,1.00080,1.00014,1.00039,25676955.77729,25686969.79004314
1712016000,2024-04-02 00:00:00,USDT/USD,1.00042,1.00119,0.99964,1.00016,19895782.11603,19898965.441168565
1711929600,2024-04-01 00:00:00,USDT/USD,1.00008,1.00084,0.99982,1.00039,8883686.96362,8887151.60153581
1711843200,2024-03-31 00:00:00,USDT/USD,1.00046,1.00050,0.99988,1.00013,2637282.96698,2637625.8137657074
1711756800,2024-03-30 00:00:00,USDT/USD,1.00065,1.00093,1.00031,1.00046,838771.89778,839157.7328529787
