https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume USD
1712707200,2024-04-10,USDT/USD,1.0002,1.0002,1.0001,1.0001,15467.628115,15469.1748778115
1712620800,2024-04-09,USDT/USD,1.0002,1.0002,1.0002,1.0002,4963.821969,4964.8147333937995
1712534400,2024-04-08,USDT/USD,1.0002,1.0002,1.0002,1.0002,9757.479559,9759.4310549118
1712448000,2024-04-07,USDT/USD,1.0003,1.0005,1.0002,1.0002,6804.227069,6805.5879144138
1712361600,2024-04-06,USDT/USD,1.0003,1.0003,1.0003,1.0003,13553.059019,13557.124936705699
1712275200,2024-04-05,USDT/USD,1.0003,1.0006,1.0003,1.0003,10006.103607,10009.105438082099
1712188800,2024-04-04,USDT/USD,1.0003,1.0006,1.0003,1.0003,12637.807916,12641.5992583748
1712102400,2024-04-03,USDT/USD,1.0003,1.0006,1.0003,1.0003,8243.84635,8246.319503904999
1712016000,2024-04-02,USDT/USD,1.0003,1.0006,1.0003,1.0003,83810.372163,83835.51527464889
1711929600,2024-04-01,USDT/USD,1.0003,1.0003,1.0,1.0003,13173.340568,13177.292570170399
1711843200,2024-03-31,USDT/USD,1.0004,1.0004,1.0,1.0,8140.181553,8140.181553
1711756800,2024-03-30,USDT/USD,1.0002,1.0004,1.0002,1.0004,35015.290923,35029.2970393692
1711670400,2024-03-29,USDT/USD,1.0,1.0003,1.0,1.0002,24584.997925,24589.914924585
1711584000,2024-03-28,USDT/USD,1.0,1.0003,1.0,1.0,15930.681312,15930.681312
1711497600,2024-03-27,USDT/USD,1.0,1.0003,1.0,1.0,13466.902395,13466.902395
1711411200,2024-03-26,USDT/USD,1.0003,1.0003,1.0,1.0,14624.451517,14624.451517
1711324800,2024-03-25,USDT/USD,1.0,1.0003,1.0,1.0003,8297.273201,8299.7623829603
1711238400,2024-03-24,USDT/USD,1.0003,1.0003,1.0,1.0,9438.611141,9438.611141
1711152000,2024-03-23,USDT/USD,1.0001,1.0003,1.0,1.0003,53656.684839,53672.781844451696
1711065600,2024-03-22,USDT/USD,0.9997,1.0001,0.9997,1.0001,12075.944035,12077.151629403501
1710979200,2024-03-21,USDT/USD,1.0,1.0,0.9997,1.0,7330.120857,7330.120857
1710892800,2024-03-20,USDT/USD,0.9997,1.0,0.9996,1.0,25390.441747,25390.441747
1710806400,2024-03-19,USDT/USD,1.0001,1.0001,0.9997,0.9997,43845.082078,43831.9285533766
1710720000,2024-03-18,USDT/USD,0.9999,1.0001,0.9998,1.0001,7505.02163,7505.772132163
1710633600,2024-03-17,USDT/USD,1.0002,1.0002,0.9998,0.9998,78463.640748,78447.9480198504
1710547200,2024-03-16,USDT/USD,1.0002,1.0002,1.0002,1.0002,4789.982894,4790.9408905788
1710460800,2024-03-15,USDT/USD,1.0002,1.0005,1.0002,1.0002,14536.04224,14538.949448448
1710374400,2024-03-14,USDT/USD,1.0012,1.0012,1.0002,1.0002,238177.362528,238224.99800050558
1710288000,2024-03-13,USDT/USD,1.0012,1.0012,1.0012,1.0012,7023.803262,7032.231825914401
1710201600,2024-03-12,USDT/USD,1.0017,1.0017,1.0012,1.0012,124066.91556,124215.795858672
1710115200,2024-03-11,USDT/USD,1.002,1.002,1.0017,1.0017,9799.513799,9816.1729724583
1710028800,2024-03-10,USDT/USD,1.002,1.0021,1.0017,1.0017,15219.330666,15245.2035281322
1709942400,2024-03-09,USDT/USD,1.002,1.002,1.002,1.002,6454.784909,6467.694478818
1709856000,2024-03-08,USDT/USD,1.0011,1.002,1.0011,1.002,229837.05739,230296.73150478
1709769600,2024-03-07,USDT/USD,1.0007,1.0011,1.0006,1.0011,32869.501614,32905.6580657754
1709683200,2024-03-06,USDT/USD,1.001,1.001,1.0006,1.001,18751.031833,18769.782864833
1709596800,2024-03-05,USDT/USD,1.0009,1.001,1.0006,1.001,41357.18987,41398.54705987
1709510400,2024-03-04,USDT/USD,1.0005,1.0009,1.0005,1.0009,49739.790312,49784.556123280796
1709424000,2024-03-03,USDT/USD,1.0005,1.0008,1.0005,1.0005,8646.188551,8650.5116452755
1709337600,2024-03-02,USDT/USD,1.0006,1.0008,1.0005,1.0008,61997.453301,62047.051263640795
1709251200,2024-03-01,USDT/USD,1.0002,1.0006,1.0002,1.0006,35774.16573,35795.630229438
1709164800,2024-02-29,USDT/USD,1.0004,1.0005,1.0001,1.0005,23552.54906,23564.32533453
1709078400,2024-02-28,USDT/USD,1.0003,1.0004,1.0001,1.0004,26614.715941,26625.361827376397
1708992000,2024-02-27,USDT/USD,1.0001,1.0003,0.9999,1.0003,44761.215663,44774.6440276989
1708905600,2024-02-26,USDT/USD,1.0,1.0003,1.0,1.0002,12236.996526,12239.4439253052
1708819200,2024-02-25,USDT/USD,1.0,1.0,1.0,1.0,7860.716119,7860.716119
1708732800,2024-02-24,USDT/USD,1.0,1.0,1.0,1.0,7629.211718,7629.211718
1708646400,2024-02-23,USDT/USD,1.0001,1.0004,1.0,1.0,11240.78348,11240.78348
1708560000,2024-02-22,USDT/USD,1.0001,1.0001,1.0001,1.0001,14730.276439,14731.7494666439
1708473600,2024-02-21,USDT/USD,1.0002,1.0002,1.0001,1.0001,8705.430692,8706.3012350692
1708387200,2024-02-20,USDT/USD,1.0002,1.0002,1.0002,1.0002,10600.28158,10602.401636316
1708300800,2024-02-19,USDT/USD,1.0002,1.0002,1.0002,1.0002,2938.938051,2939.5258386102
1708214400,2024-02-18,USDT/USD,1.0003,1.0003,1.0002,1.0002,7704.448837,7705.9897267674
1708128000,2024-02-17,USDT/USD,1.0006,1.0006,1.0003,1.0003,1686.051539,1686.5573544617
1708041600,2024-02-16,USDT/USD,1.0002,1.0006,1.0002,1.0006,91045.286696,91099.9138680176
1707955200,2024-02-15,USDT/USD,1.0002,1.0002,1.0002,1.0002,13902.63908,13905.419607816
1707868800,2024-02-14,USDT/USD,1.0001,1.0002,1.0001,1.0002,3236.786556,3237.4339133112
1707782400,2024-02-13,USDT/USD,1.0001,1.0001,1.0001,1.0001,5774.11537,5774.692781537
1707696000,2024-02-12,USDT/USD,0.9999,1.0001,0.9999,1.0001,30774.777789,30777.8552667789
1707609600,2024-02-11,USDT/USD,1.0002,1.0002,0.9999,1.0002,5730.90476,5732.050940952
1707523200,2024-02-10,USDT/USD,0.9999,1.0005,0.9996,1.0002,80481.955663,80498.0520541326
1707436800,2024-02-09,USDT/USD,0.9998,0.9999,0.9998,0.9999,6830.560402,6829.877345959801
1707350400,2024-02-08,USDT/USD,0.9998,0.9998,0.9995,0.9998,6269.707228,6268.453286554401
1707264000,2024-02-07,USDT/USD,0.9998,0.9998,0.9995,0.9998,7933.637561,7932.0508334877995
1707177600,2024-02-06,USDT/USD,0.9995,0.9998,0.9995,0.9998,7521.899651,7520.3952710697995
1707091200,2024-02-05,USDT/USD,0.9995,0.9995,0.9995,0.9995,3471.59634,3469.8605418300003
1707004800,2024-02-04,USDT/USD,0.9996,0.9996,0.9996,0.9996,4239.275602,4237.5798917592
1706918400,2024-02-03,USDT/USD,0.9996,0.9996,0.9996,0.9996,781.603383,781.2907416468
1706832000,2024-02-02,USDT/USD,0.9996,0.9996,0.9996,0.9996,4342.161533,4340.4246683868005
1706745600,2024-02-01,USDT/USD,0.9996,0.9999,0.9996,0.9999,7718.176509,7717.4046913491
1706659200,2024-01-31,USDT/USD,0.9996,0.9999,0.9996,0.9999,5777.343518,5776.765783648199
1706572800,2024-01-30,USDT/USD,0.9998,0.9999,0.9998,0.9999,15657.964283,15656.3984865717
1706486400,2024-01-29,USDT/USD,0.9998,0.9998,0.9998,0.9998,10371.563849,10369.4895362302
1706400000,2024-01-28,USDT/USD,0.9997,0.9998,0.9997,0.9998,14204.411741,14201.5708586518
1706313600,2024-01-27,USDT/USD,0.9997,0.9997,0.9997,0.9997,16520.081722,16515.1256974834
1706227200,2024-01-26,USDT/USD,0.9994,0.9997,0.9994,0.9997,4895.452802,4893.9841661594
1706140800,2024-01-25,USDT/USD,0.9997,0.9997,0.9994,0.9997,3627.158305,3626.0701575085
1706054400,2024-01-24,USDT/USD,0.9993,0.9997,0.9993,0.9997,13363.226664,13359.2176960008
1705968000,2024-01-23,USDT/USD,0.9993,0.9993,0.9993,0.9993,4759.761518,4756.4296849374
1705881600,2024-01-22,USDT/USD,0.9994,0.9994,0.9993,0.9993,18595.838128,18582.8210413104
1705795200,2024-01-21,USDT/USD,0.9994,0.9994,0.9994,0.9994,5494.763049,5491.4661911706
1705708800,2024-01-20,USDT/USD,0.9994,0.9997,0.9994,0.9994,2134.133877,2132.8533966738
1705622400,2024-01-19,USDT/USD,0.9998,0.9998,0.9994,0.9994,11649.747911,11642.7580622534
1705536000,2024-01-18,USDT/USD,1.0001,1.0001,0.9995,0.9995,162034.264962,161953.247829519
1705449600,2024-01-17,USDT/USD,1.0002,1.0002,1.0001,1.0001,15106.625221,15108.1358835221
